Customer ID,Recency,Frequency,Monetary,AvgOrderValue,Lifespan,PurchaseFrequency,Recency_Frequency,Monetary_Frequency,CLV_Segment
12347.0,2,7,4310.0,23.681318681318682,365,0.01912568306010929,14,30170.0,2
12348.0,75,4,1797.24,57.97548387096774,282,0.014134275618374558,300,7188.96,2
12349.0,19,1,1757.55,24.076027397260273,0,1.0,19,1757.55,2
12350.0,310,1,334.40000000000003,19.67058823529412,0,1.0,310,334.40000000000003,0
12352.0,36,8,2506.04,29.482823529411764,260,0.03065134099616858,288,20048.32,2
12353.0,204,1,89.0,22.25,0,1.0,204,89.0,0
12354.0,232,1,1079.4,18.610344827586207,0,1.0,232,1079.4,1
12355.0,214,1,459.40000000000003,35.338461538461544,0,1.0,214,459.40000000000003,1
12356.0,23,3,2811.43,47.65135593220339,302,0.009900990099009901,69,8434.289999999999,2
12357.0,33,1,6207.67,47.38679389312977,0,1.0,33,6207.67,2
12358.0,2,2,1168.06,61.47684210526315,149,0.013333333333333334,4,2336.12,2
12359.0,58,4,6310.03,25.755224489795918,274,0.014545454545454545,232,25240.12,2
12360.0,52,3,2662.06,20.63612403100775,148,0.020134228187919462,156,7986.18,2
12361.0,287,1,189.9,18.990000000000002,0,1.0,287,189.9,0
12362.0,3,10,5226.2300000000005,19.64748120300752,292,0.034129692832764506,30,52262.3,2
12363.0,110,2,552.0,24.0,132,0.015037593984962405,220,1104.0,1
12364.0,8,4,1313.1,15.448235294117646,104,0.0380952380952381,32,5252.4,2
12365.0,291,2,641.38,29.153636363636362,0,2.0,582,1282.76,1
12367.0,4,1,168.9,15.354545454545455,0,1.0,4,168.9,0
12370.0,51,4,3541.94,21.33698795180723,309,0.012903225806451613,204,14167.76,2
12371.0,45,2,1887.96,29.96761904761905,14,0.13333333333333333,90,3775.92,2
12372.0,72,3,1298.04,24.962307692307693,224,0.013333333333333334,216,3894.12,2
12373.0,311,1,364.6,26.042857142857144,0,1.0,311,364.6,0
12374.0,25,1,742.9300000000001,22.513030303030305,0,1.0,25,742.9300000000001,1
12375.0,11,2,457.5,26.91176470588235,87,0.022727272727272728,22,915.0,1
12377.0,315,2,1628.1200000000001,21.144415584415587,39,0.05,630,3256.2400000000002,2
12378.0,130,1,4008.62,18.30420091324201,0,1.0,130,4008.62,2
12379.0,82,2,852.24,21.306,88,0.02247191011235955,164,1704.48,1
12380.0,22,4,2724.81,26.200096153846154,164,0.024242424242424242,88,10899.24,2
12381.0,5,5,1845.31,21.21045977011494,115,0.04310344827586207,25,9226.55,2
12383.0,185,5,1850.56,18.69252525252525,167,0.02976190476190476,925,9252.8,2
12384.0,29,2,585.27,21.676666666666666,92,0.021505376344086023,58,1170.54,1
12386.0,338,2,401.9,40.19,29,0.06666666666666667,676,803.8,1
12388.0,16,6,2780.6600000000003,27.806600000000003,311,0.019230769230769232,96,16683.960000000003,2
12390.0,80,1,549.84,17.1825,0,1.0,80,549.84,1
12391.0,22,1,439.66,4.72752688172043,0,1.0,22,439.66,1
12393.0,72,4,1582.6000000000001,24.728125000000002,260,0.01532567049808429,288,6330.400000000001,2
12394.0,64,2,1272.48,47.12888888888889,153,0.012987012987012988,128,2544.96,2
12395.0,19,12,3018.63,19.350192307692307,351,0.03409090909090909,228,36223.56,2
12397.0,36,2,2409.9,19.126190476190477,99,0.02,72,4819.8,2
12398.0,46,1,1635.6599999999999,19.24305882352941,0,1.0,46,1635.6599999999999,2
12399.0,119,4,1108.65,18.790677966101697,142,0.027972027972027972,476,4434.6,1
12401.0,303,1,84.3,16.86,0,1.0,303,84.3,0
12402.0,323,1,225.60000000000002,20.50909090909091,0,1.0,323,225.60000000000002,0
12403.0,50,1,427.7,85.53999999999999,0,1.0,50,427.7,1
12405.0,149,1,1710.39,31.67388888888889,0,1.0,149,1710.39,2
12406.0,22,2,3415.3,32.52666666666667,161,0.012345679012345678,44,6830.6,2
12407.0,50,5,1708.12,22.18337662337662,214,0.023255813953488372,250,8540.599999999999,2
12408.0,33,5,2888.55,27.51,227,0.021929824561403508,165,14442.75,2
12409.0,79,3,11072.67,101.58412844036697,103,0.028846153846153848,237,33218.01,2
12410.0,309,2,693.33,26.66653846153846,0,2.0,618,1386.66,1
12412.0,75,3,1226.88,20.112786885245903,94,0.031578947368421054,225,3680.6400000000003,2
12413.0,67,3,758.1,19.95,270,0.01107011070110701,201,2274.3,1
12414.0,217,3,562.4100000000001,31.245000000000005,93,0.031914893617021274,651,1687.2300000000002,1
12417.0,3,9,3649.1,19.005729166666665,354,0.02535211267605634,27,32841.9,2
12418.0,113,1,668.58,19.664117647058823,0,1.0,113,668.58,1
12420.0,64,1,600.39,20.70310344827586,0,1.0,64,600.39,1
12421.0,16,4,807.04,17.93422222222222,303,0.013157894736842105,64,3228.16,1
12422.0,96,3,803.5600000000001,20.604102564102565,229,0.013043478260869565,288,2410.6800000000003,1
12423.0,1,8,1859.31,14.87448,352,0.0226628895184136,8,14874.48,2
12424.0,163,2,1760.96,58.69866666666667,0,2.0,326,3521.92,2
12425.0,78,1,777.2,21.58888888888889,0,1.0,78,777.2,1
12426.0,195,1,582.73,19.424333333333333,0,1.0,195,582.73,1
12427.0,22,3,825.8000000000001,26.638709677419357,349,0.008571428571428572,66,2477.4,1
12428.0,26,9,7956.46,27.062789115646257,257,0.03488372093023256,234,71608.14,2
12429.0,9,4,3750.4,38.66391752577319,356,0.011204481792717087,36,15001.6,2
12430.0,43,1,256.4,23.30909090909091,0,1.0,43,256.4,0
12431.0,36,15,6419.95,27.43568376068376,338,0.04424778761061947,540,96299.25,2
12432.0,43,5,5059.32,46.845555555555556,129,0.038461538461538464,215,25296.6,2
12433.0,1,7,13375.87,31.847309523809525,372,0.01876675603217158,7,93631.09000000001,2
12434.0,85,2,806.14,16.122799999999998,175,0.011363636363636364,170,1612.28,1
12435.0,80,2,7829.89,217.49694444444447,188,0.010582010582010581,160,15659.78,2
12436.0,100,1,509.01,31.813125,0,1.0,100,509.01,1
12437.0,2,18,4951.41,24.88145728643216,329,0.05454545454545454,36,89125.38,2
12438.0,14,2,2906.85,29.66173469387755,125,0.015873015873015872,28,5813.7,2
12441.0,367,1,173.55,15.77727272727273,0,1.0,367,173.55,0
12442.0,3,1,172.06,14.338333333333333,0,1.0,3,172.06,0
12444.0,21,5,5005.46,28.440113636363638,149,0.03333333333333333,105,25027.3,2
12445.0,22,1,133.4,33.35,0,1.0,22,133.4,0
12446.0,58,1,1002.3100000000001,17.584385964912283,0,1.0,58,1002.3100000000001,1
12447.0,243,1,476.49,18.326538461538462,0,1.0,243,476.49,1
12448.0,44,1,449.45,20.429545454545455,0,1.0,44,449.45,1
12449.0,22,4,4067.29,21.294712041884818,164,0.024242424242424242,88,16269.16,2
12450.0,156,2,197.88,24.735,17,0.1111111111111111,312,395.76,0
